0,000000000E0	0,000000000E0	1,067100234E-1
3,333000000E-1	3,524270919E-2	1,067100234E-1
6,666111111E-1	7,113408726E-2	1,084879775E-1
9,998888889E-1	1,075595896E-1	1,094822689E-1
1,333188889E0	1,441125348E-1	1,085056899E-1
1,666488889E0	1,798894824E-1	1,061842311E-1
1,999766667E0	2,148925836E-1	1,036500411E-1
2,333066667E0	2,489802965E-1	1,021209571E-1
2,666344444E0	2,829641443E-1	1,024047988E-1
2,999722222E0	3,172490246E-1	1,034629283E-1
3,332955556E0	3,519336818E-1	1,043449800E-1
3,666244444E0	3,867972725E-1	1,033092701E-1
3,999533333E0	4,207973455E-1	1,033092701E-1


